DiseaseName	Regulator	Target	RegulationDiretion	Experimental.method.for.lncRNA.target	ExpressionPattern	Experimental.method.for.lncRNA.expression	Data.accession	Data.accession2	influencedFunction	regulatoryMechanism	regulatoryType	levelOfRegulation	Drugs	cancerStemCell	hallmark	diseaseCategory	DiseaseName2	RegulatorType	TargetType	RegulatorEnsembleID	lncRegulatorPosition	TargetEnsembleID	lncTargetPosition	RegulatorEntrezID	TargetEntrezID	RegulatorAliases	TargetAliases	Evidence	PubMedID	RID	SearchregulatoryMechanism
Osteosarcoma	MALAT1	MMP9	positively-E	western blot;RNAi	upregulation	qPCR	NA	NA	cell proliferation(+);cell metastasis(+)	NA	association	NA	NA	NA	Insensitivity to Antigrowth Signals;Tissue Invasion and Metastasis	Cancer	Osteosarcoma	lncRNA	PCG	ENSG00000251562	GRCh38_11:65497688-65506516	ENSG00000100985	NA	378938	4318	HCN|LINC00047|NCRNA00047|NEAT2|PRO2853	CLG4B|GELB|MANDP2|MMP-9	MALAT1 promotes the proliferation and metastasis of osteosarcoma cells by activating the PI3K/Akt pathway. In our research, the MALAT1 messenger RNA (mRNA) was highly expressed in human osteosarcoma tissues, and its expression level was closely correlated with pulmonary metastasis. Knockdown of MALAT1 inhibited the proliferation and invasion of human osteosarcoma cell and suppressed its metastasis in vitro and vivo. At the same time, the proliferating cell nuclear antigen (PCNA), matrix metallopeptidase 9 (MMP-9), phosphorylated PI3Kp85alpha, and Akt expressions were significantly inhibited in MALAT1-deleted cells. Knockdown of MALAT1 inhibited the proliferation and invasion of human osteosarcoma cell and suppressed its metastasis in vitro and vivo. At the same time, the proliferating cell nuclear antigen (PCNA), matrix metallopeptidase 9 (MMP-9), phosphorylated PI3Kp85alpha, and Akt expressions were significantly inhibited in MALAT1-deleted cells. These findings indicated that MALAT1 might suppress the tumor growth and metastasis via PI3K/AKT signaling pathway.	25431257	RID01993	expression association
Osteosarcoma	MALAT1	PI3K	positively-E	western blot;RNAi	upregulation	qPCR	NA	NA	cell proliferation(+);cell metastasis(+)	NA	association	NA	NA	NA	Insensitivity to Antigrowth Signals;Tissue Invasion and Metastasis	Cancer	Osteosarcoma	lncRNA	PCG	ENSG00000251562	GRCh38_11:65497688-65506516	NA	NA	378938	NA	HCN|LINC00047|NCRNA00047|NEAT2|PRO2853	NA	MALAT1 promotes the proliferation and metastasis of osteosarcoma cells by activating the PI3K/Akt pathway. In our research, the MALAT1 messenger RNA (mRNA) was highly expressed in human osteosarcoma tissues, and its expression level was closely correlated with pulmonary metastasis. Knockdown of MALAT1 inhibited the proliferation and invasion of human osteosarcoma cell and suppressed its metastasis in vitro and vivo. At the same time, the proliferating cell nuclear antigen (PCNA), matrix metallopeptidase 9 (MMP-9), phosphorylated PI3Kp85alpha, and Akt expressions were significantly inhibited in MALAT1-deleted cells. Knockdown of MALAT1 inhibited the proliferation and invasion of human osteosarcoma cell and suppressed its metastasis in vitro and vivo. At the same time, the proliferating cell nuclear antigen (PCNA), matrix metallopeptidase 9 (MMP-9), phosphorylated PI3Kp85alpha, and Akt expressions were significantly inhibited in MALAT1-deleted cells. These findings indicated that MALAT1 might suppress the tumor growth and metastasis via PI3K/AKT signaling pathway.	25431257	RID01994	expression association
Osteosarcoma	MALAT1	AKT1	positively-E	western blot;RNAi	upregulation	qPCR	NA	NA	cell proliferation(+);cell metastasis(+)	NA	association	NA	NA	NA	Insensitivity to Antigrowth Signals;Tissue Invasion and Metastasis	Cancer	Osteosarcoma	lncRNA	PCG	ENSG00000251562	GRCh38_11:65497688-65506516	ENSG00000142208	NA	378938	207	HCN|LINC00047|NCRNA00047|NEAT2|PRO2853	AKT|CWS6|PKB|PKB-ALPHA|PRKBA|RAC|RAC-ALPHA	MALAT1 promotes the proliferation and metastasis of osteosarcoma cells by activating the PI3K/Akt pathway. In our research, the MALAT1 messenger RNA (mRNA) was highly expressed in human osteosarcoma tissues, and its expression level was closely correlated with pulmonary metastasis. Knockdown of MALAT1 inhibited the proliferation and invasion of human osteosarcoma cell and suppressed its metastasis in vitro and vivo. At the same time, the proliferating cell nuclear antigen (PCNA), matrix metallopeptidase 9 (MMP-9), phosphorylated PI3Kp85alpha, and Akt expressions were significantly inhibited in MALAT1-deleted cells. Knockdown of MALAT1 inhibited the proliferation and invasion of human osteosarcoma cell and suppressed its metastasis in vitro and vivo. At the same time, the proliferating cell nuclear antigen (PCNA), matrix metallopeptidase 9 (MMP-9), phosphorylated PI3Kp85alpha, and Akt expressions were significantly inhibited in MALAT1-deleted cells. These findings indicated that MALAT1 might suppress the tumor growth and metastasis via PI3K/AKT signaling pathway.	25431257	RID01995	expression association
Glioblastoma	HOTAIR	EZH2	interact	RIP	downregulation	sequencing	TCGA	GBM.zip	cell cycle(+);cell proliferation(+);cell invasion(+)	interact with protein	binding/interaction	RNA-protein	NA	CSC	Insensitivity to Antigrowth Signals;Tissue Invasion and Metastasis	Cancer	Brain glioma	lncRNA	PCG	ENSG00000228630	GRCh38_12:53962308-53974956	ENSG00000106462	NA	100124700	2146	HOXAS|HOXC-AS4|HOXC11-AS1|NCRNA00072	ENX-1|ENX1|EZH2b|KMT6|KMT6A|WVS|WVS2	Long non-coding RNA HOTAIR promotes glioblastoma cell cycle progression in an EZH2 dependent manner. In this study, we found that EZH2 (predominant PRC2 complex component) inhibition blocked cell cycle progression in glioma cells, consistent with the effects elicited by HOTAIR siRNA. However, the inhibition of LSD1 did not affect cell cycle progression in glioma cells. These results suggest that HOTAIR might regulate cell cycle progression through EZH2.In conclusion, HOTAIR promotes cell cycle progression in glioma as a result of the binding of its 5' domain to the PRC2 complex.Magnetofection based on superparamagnetic iron oxide nanoparticle-mediated low lncRNA HOTAIR expression decreases the proliferation and invasion of glioma stem cells.CD133+ human glioma stem cells express a high level of HOTAIR. An in-depth mechanistic analysis showed that downregulation of HOTAIR expression reduced the recruitment of downstream molecules, EZH2 and LSD1, thereby activating the expression of PDCD4 at the transcriptional level. In conclusion, downregulation of HOTAIR expression effectively promoted the expression of PDCD4, thereby inhibiting the proliferation, invasion and in vivo tumorigenicity of human GSCs.	25428914;27277755	RID01996	interact with protein
Prostate cancer	PCAT1	miR-3667-3p	negatively-F	luciferase reporter assay	upregulation	qPCR	NA	NA	cell proliferation(+)	sponge	binding/interaction	RNA-RNA	NA	NA	Insensitivity to Antigrowth Signals	Cancer	Prostate cancer	lncRNA	miRNA	ENSG00000253438	GRCh38_8:126556323-127419050	NA	NA	100750225	NA	PCA1|PCAT-1	NA	The long non-coding RNA PCAT-1 promotes prostate cancer cell proliferation through cMyc. The PCAT-1-cMyc relationship is mediated through the post-transcriptional activity of the MYC 3' untranslated region, and we characterize a role for PCAT-1 in the disruption of MYC-targeting microRNAs. To further elucidate a role for post-transcriptional regulation, we demonstrate that targeting PCAT-1 with miR-3667-3p, which does not target MYC, is able to reverse the stabilization of cMyc by PCAT-1. This work establishes a basis for the oncogenic role of PCAT-1 in cancer cell proliferation and is the first study to implicate lncRNAs in the regulation of cMyc in prostate cancer.	25425964	RID01997	ceRNA or sponge
Prostate cancer	PCAT1	MYC	positively-E	RNAi	upregulation	qPCR	NA	NA	cell proliferation(+)	post-transcriptional level	regulation	NA	NA	NA	Insensitivity to Antigrowth Signals	Cancer	Prostate cancer	lncRNA	TF	ENSG00000253438	GRCh38_8:126556323-127419050	ENSG00000136997	NA	100750225	4609	PCA1|PCAT-1	MRTL|MYCC|bHLHe39|c-Myc	The long non-coding RNA PCAT-1 promotes prostate cancer cell proliferation through cMyc. The PCAT-1-cMyc relationship is mediated through the post-transcriptional activity of the MYC 3' untranslated region, and we characterize a role for PCAT-1 in the disruption of MYC-targeting microRNAs. To further elucidate a role for post-transcriptional regulation, we demonstrate that targeting PCAT-1 with miR-3667-3p, which does not target MYC, is able to reverse the stabilization of cMyc by PCAT-1. This work establishes a basis for the oncogenic role of PCAT-1 in cancer cell proliferation and is the first study to implicate lncRNAs in the regulation of cMyc in prostate cancer.	25425964	RID01998	expression association
Hepatocellular carcinoma	miR-125b-5p	HOTTIP	negatively-F	luciferase reporter assay	upregulation	qPCR	NA	NA	cell proliferation(+);cell metastasis(+)	sponge	binding/interaction	RNA-RNA	NA	NA	Insensitivity to Antigrowth Signals;Tissue Invasion and Metastasis	Cancer	Liver cancer	miRNA	lncRNA	NA	NA	ENSG00000243766	GRCh38_7:27198575-27207259	NA	100316868	NA	HOXA-AS6|HOXA13-AS1|NCRNA00213	Long non-coding RNA HOTTIP is frequently up-regulated in hepatocellular carcinoma and is targeted by tumour suppressive miR-125b. In our profiling study, HOTTIP was identified as the most significantly up-regulated lncRNA in human HCCs, even in early stage of HCC formation. Functionally, knock-down of HOTTIP attenuated HCC cell proliferation in vitro and markedly abrogated tumourigenicity in vivo. HOTTIP is an antisense lncRNA mapped to the distal end of the HOXA gene cluster. Knock-down of HOTTIP significantly suppressed the expression of a number of HOXA genes.Furthermore, we identified miR-125b as a post-transcriptional regulator of HOTTIP. Ectopic expression of miR-125b reduced HOTTIP-coupled luciferase activity and suppressed the endogenous level of HOTTIP. Moreover, in human HCCs, HOTTIP expression negatively correlated with that of miR-125b.HOTTIP is a novel oncogenic lncRNA, which negatively regulated by miR-125b. Overexpression of HOTTIP contributes to hepatocarcinogenesis by regulating the expression of its neighbouring protein-coding genes.	25424744	RID01999	ceRNA or sponge
Nasopharynx carcinoma	TP53	LOC401317	positively-E	luciferase reporter assay	downregulation	qPCR;microarray	GSE60379	GSE60379.zip	cell cycle(-);apoptosis process(+)	transcriptional regulation	binding/interaction	protein-DNA	NA	NA	Evading Apoptosis	Cancer	Nasopharynx carcinoma	TF	lncRNA	ENSG00000141510	NA	NA	GRCh38_7:28449124-28451460	7157	NA	BCC7|BMFS5|LFS1|P53|TRP53	NA	LOC401317, a p53-regulated long non-coding RNA, inhibits cell proliferation and induces apoptosis in the nasopharyngeal carcinoma cell line HNE2. Further studies indicated that LOC401317 is directly regulated by p53 and that ectopic expression of LOC401317 inhibits HNE2 cell proliferation in vitro and in vivo by inducing cell cycle arrest and apoptosis.	25422887	RID02000	transcriptional regulation
Nasopharynx carcinoma	LOC401317	CDKN1A	positively-E	RNAi	downregulation	qPCR;microarray	NA	NA	cell cycle(-)	NA	regulation	NA	NA	NA	NA	Cancer	Nasopharynx carcinoma	lncRNA	PCG	NA	GRCh38_7:28449124-28451460	ENSG00000124762	NA	NA	1026	NA	CAP20|CDKN1|CIP1|MDA-6|P21|SDI1|WAF1|p21CIP1	LOC401317, a p53-regulated long non-coding RNA, inhibits cell proliferation and induces apoptosis in the nasopharyngeal carcinoma cell line HNE2. Among these aberrantly expressed long non-coding RNAs, LOC401317 was the most significantly upregulated one. LOC401317 inhibited cell cycle progression by increasing p21 expression and decreasing cyclin D1 and cyclin E1 expression and promoted apoptosis through the induction of poly(ADP-ribose) polymerase and caspase-3 cleavage.	25422887	RID02001	expression association
Nasopharynx carcinoma	LOC401317	CCND1	negatively-E	RNAi	downregulation	qPCR;microarray	GSE60381	GSE60381.zip	cell cycle(-)	NA	regulation	NA	NA	NA	NA	Cancer	Nasopharynx carcinoma	lncRNA	PCG	NA	GRCh38_7:28449124-28451460	ENSG00000110092	NA	NA	595	NA	BCL1|D11S287E|PRAD1|U21B31	LOC401317, a p53-regulated long non-coding RNA, inhibits cell proliferation and induces apoptosis in the nasopharyngeal carcinoma cell line HNE2. Among these aberrantly expressed long non-coding RNAs, LOC401317 was the most significantly upregulated one. LOC401317 inhibited cell cycle progression by increasing p21 expression and decreasing cyclin D1 and cyclin E1 expression and promoted apoptosis through the induction of poly(ADP-ribose) polymerase and caspase-3 cleavage.	25422887	RID02002	expression association
Nasopharynx carcinoma	LOC401317	CCNE1	negatively-E	RNAi	downregulation	qPCR;microarray	GSE60382	GSE60382.zip	cell cycle(-)	NA	regulation	NA	NA	NA	NA	Cancer	Nasopharynx carcinoma	lncRNA	PCG	NA	GRCh38_7:28449124-28451460	ENSG00000105173	NA	NA	898	NA	CCNE|pCCNE1	LOC401317, a p53-regulated long non-coding RNA, inhibits cell proliferation and induces apoptosis in the nasopharyngeal carcinoma cell line HNE2. Among these aberrantly expressed long non-coding RNAs, LOC401317 was the most significantly upregulated one. LOC401317 inhibited cell cycle progression by increasing p21 expression and decreasing cyclin D1 and cyclin E1 expression and promoted apoptosis through the induction of poly(ADP-ribose) polymerase and caspase-3 cleavage.	25422887	RID02003	expression association
Nasopharynx carcinoma	LOC401317	CASP3	negatively-E	RNAi	downregulation	qPCR;microarray	GSE60383	GSE60383.zip	apoptosis process(+)	NA	regulation	NA	NA	NA	Evading Apoptosis	Cancer	Nasopharynx carcinoma	lncRNA	PCG	NA	GRCh38_7:28449124-28451460	ENSG00000164305	NA	NA	836	NA	CPP32|CPP32B|SCA-1	LOC401317, a p53-regulated long non-coding RNA, inhibits cell proliferation and induces apoptosis in the nasopharyngeal carcinoma cell line HNE2. Among these aberrantly expressed long non-coding RNAs, LOC401317 was the most significantly upregulated one. LOC401317 inhibited cell cycle progression by increasing p21 expression and decreasing cyclin D1 and cyclin E1 expression and promoted apoptosis through the induction of poly(ADP-ribose) polymerase and caspase-3 cleavage.	25422887	RID02004	expression association
Nasopharynx carcinoma	LOC401317	PARP1	negatively-E	RNAi	downregulation	qPCR;microarray	NA	NA	apoptosis process(+)	NA	regulation	NA	NA	NA	Evading Apoptosis	Cancer	Nasopharynx carcinoma	lncRNA	PCG	NA	GRCh38_7:28449124-28451460	ENSG00000143799	NA	NA	142	NA	ADPRT|ADPRT 1|ADPRT1|ARTD1|PARP|PARP-1|PPOL|pADPRT-1	LOC401317, a p53-regulated long non-coding RNA, inhibits cell proliferation and induces apoptosis in the nasopharyngeal carcinoma cell line HNE2. Among these aberrantly expressed long non-coding RNAs, LOC401317 was the most significantly upregulated one. LOC401317 inhibited cell cycle progression by increasing p21 expression and decreasing cyclin D1 and cyclin E1 expression and promoted apoptosis through the induction of poly(ADP-ribose) polymerase and caspase-3 cleavage.	25422887	RID02005	expression association
Prostate cancer	ESR1	NEAT1	positively-E	luciferase reporter assay;ChIP	upregulation	qPCR	NA	NA	cancer progression(+)	transcriptional regulation	regulation	protein-DNA	NA	NA	NA	Cancer	Prostate cancer	TF	lncRNA	ENSG00000091831	NA	ENSG00000245532	GRCh38_11:65422774-65445540	2099	283131	ER|ESR|ESRA|ESTRR|Era|NR3A1	LINC00084|NCRNA00084|TncRNA|VINC	The oestrogen receptor alpha-regulated lncRNA NEAT1 is a critical modulator of prostate cancer. Among putatively ERalpha-regulated intergenic long non-coding RNAs (lncRNAs), we identified nuclear enriched abundant transcript 1 (NEAT1) as the most significantly overexpressed lncRNA in prostate cancer. Analysis of two large clinical cohorts also revealed that NEAT1 expression is associated with prostate cancer progression. Prostate cancer cells expressing high levels of NEAT1 were recalcitrant to androgen or AR antagonists.	25415230	RID02006	transcriptional regulation
Neuroblastoma	POU3F3	DALIR	positively-E	ChIP	downregulation	qPCR	NA	NA	cell differentiation(-)	transcriptional regulation	binding/interaction	protein-DNA	NA	NA	NA	Cancer	Neuroblastoma	TF	lncRNA	ENSG00000198914	NA	NA	GRCh38_2:104860077-104861124	5455	104940698	BRN1|OTF8|brain-1|oct-8	DALI	The long non-coding RNA Dali is an epigenetic regulator of neural differentiation. Dali is transcribed downstream of the Pou3f3 transcription factor gene and its depletion disrupts the differentiation of neuroblastoma cells. Locally, Dali transcript regulates transcription of the Pou3f3 locus. Distally, it preferentially targets active promoters and regulates expression of neural differentiation genes, in part through physical association with the POU3F3 protein. Dali interacts with the DNMT1 DNA methyltransferase in mouse and human and regulates DNA methylation status of CpG island-associated promoters in trans.	25415054	RID02007	transcriptional regulation
Neuroblastoma	DALIR	DNMT1	interact	ChIP	downregulation	qPCR	NA	NA	cell differentiation(-)	interact with protein	binding/interaction	RNA-protein	NA	NA	NA	Cancer	Neuroblastoma	lncRNA	PCG	NA	GRCh38_2:104860077-104861124	ENSG00000130816	NA	104940698	1786	DALI	ADCADN|AIM|CXXC9|DNMT|HSN1E|MCMT|m.HsaI	The long non-coding RNA Dali is an epigenetic regulator of neural differentiation. Dali is transcribed downstream of the Pou3f3 transcription factor gene and its depletion disrupts the differentiation of neuroblastoma cells. Locally, Dali transcript regulates transcription of the Pou3f3 locus. Distally, it preferentially targets active promoters and regulates expression of neural differentiation genes, in part through physical association with the POU3F3 protein. Dali interacts with the DNMT1 DNA methyltransferase in mouse and human and regulates DNA methylation status of CpG island-associated promoters in trans.	25415054	RID02008	interact with protein
